frequency_hz,magnitude_db,phase_deg
20,-0.1703,-11.52
30,-0.1703,-8.67
40,-0.1703,-11.61
60,-0.3510,-13.01
80,-0.3510,-16.28
100,-0.5428,-17.34
120,-0.7238,-20.82
140,-0.9151,-24.00
160,-1.5145,-32.00
180,-1.9382,-30.88
200,-1.9382,-34.00
220,-2.1599,-31.80
240,-2.4988,-34.28
260,-2.8527,-37.50
280,-3.0980,-40.00
300,-3.0980,-51.00
400,-5.0362,-58.00
500,-6.0206,-61.00
600,-7.1308,-65.00
700,-8.4030,-70.00
800,-9.3702,-71.00
900,-10.4576,-72.00
1000,-10.4576,-79.00
1100,-11.7009,-82.00
1200,-12.3936,-87.00
1300,-13.1519,-85.00
1500,-14.9185,-91.00
1600,-15.3910,-89.00
1800,-15.9176,-93.00
2000,-16.4782,-90.00
